date,intervention,control,metric
2025-03-02,0,97.031,96.494
2025-03-03,0,96.531,97.736
2025-03-04,0,98.735,101.316
2025-03-05,0,104.322,102.249
2025-03-06,0,109.313,109.903
2025-03-07,0,110.686,109.125
2025-03-08,0,105.206,105.918
2025-03-09,0,99.822,99.625
2025-03-10,0,99.266,96.52
2025-03-11,0,98.376,99.769
2025-03-12,0,100.949,100.041
2025-03-13,0,105.974,105.174
2025-03-14,0,107.611,106.006
2025-03-15,0,107.248,106.266
2025-03-16,0,101.382,102.023
2025-03-17,0,99.281,98.998
2025-03-18,0,98.255,98.747
2025-03-19,0,104.167,104.71
2025-03-20,0,109.842,111.823
2025-03-21,0,109.181,108.667
2025-03-22,0,107.517,105.302
2025-03-23,0,100.123,101.724
2025-03-24,0,97.524,97.027
2025-03-25,0,98.696,100.367
2025-03-26,0,101.808,102.383
2025-03-27,0,109.915,109.718
2025-03-28,0,109.211,109.734
2025-03-29,0,106.978,109.905
2025-03-30,0,102.758,105.874
2025-03-31,0,99.493,99.598
2025-04-01,0,101.14,101.38
2025-04-02,0,104.353,105.967
2025-04-03,0,108.444,107.176
2025-04-04,0,110.34,110.84
2025-04-05,0,103.929,103.89
2025-04-06,0,99.252,99.723
2025-04-07,0,96.305,95.055
2025-04-08,0,98.165,95.78
2025-04-09,0,105.7,102.59
2025-04-10,0,107.83,106.154
2025-04-11,0,110.093,109.405
2025-04-12,0,110.252,109.812
2025-04-13,0,101.784,104.69
2025-04-14,0,100.775,102.434
2025-04-15,0,98.642,97.199
2025-04-16,0,104.839,105.361
2025-04-17,0,108.091,107.48
2025-04-18,0,110.522,110.095
2025-04-19,0,109.684,109.962
2025-04-20,0,99.392,100.321
2025-04-21,0,100.519,100.01
2025-04-22,0,101.334,102.93
2025-04-23,0,104.412,102.699
2025-04-24,0,107.449,107.458
2025-04-25,0,111.694,115.59
2025-04-26,0,107.294,107.629
2025-04-27,0,103.662,105.812
2025-04-28,0,100.044,100.181
2025-04-29,0,104.413,105.284
2025-04-30,0,105.471,105.386
2025-05-01,0,108.644,108.388
2025-05-02,0,112.258,111.089
2025-05-03,0,109.143,109.789
2025-05-04,0,106.265,104.988
2025-05-05,0,102.021,103.019
2025-05-06,0,102.273,103.901
2025-05-07,0,109.227,109.776
2025-05-08,0,108.663,108.234
2025-05-09,0,110.97,111.651
2025-05-10,0,107.2,106.737
2025-05-11,0,103.117,104.52
2025-05-12,0,97.947,95.2
2025-05-13,0,103.179,102.676
2025-05-14,0,106.206,103.219
2025-05-15,0,108.449,106.207
2025-05-16,0,110.568,112.614
2025-05-17,0,110.03,111.373
2025-05-18,0,105.923,104.844
2025-05-19,0,105.044,102.79
2025-05-20,0,108.087,103.64
2025-05-21,0,107.829,107.014
2025-05-22,0,109.762,113.393
2025-05-23,0,108.685,109.338
2025-05-24,0,110.289,109.449
2025-05-25,0,102.971,103.668
2025-05-26,0,100.57,98.228
2025-05-27,0,101.385,100.939
2025-05-28,0,107.068,107.218
2025-05-29,0,114.223,114.094
2025-05-30,0,113.614,114.8
2025-05-31,0,109.786,110.303
2025-06-01,0,102.875,103.878
2025-06-02,0,98.401,97.369
2025-06-03,0,101.986,103.333
2025-06-04,0,107.592,110.036
2025-06-05,0,115.977,114.522
2025-06-06,0,113.91,112.579
2025-06-07,0,112.419,114.422
2025-06-08,0,104.298,104.011
2025-06-09,0,99.731,101.836
2025-06-10,0,101.379,100.715
2025-06-11,0,106.6,108.782
2025-06-12,0,117.048,117.245
2025-06-13,0,112.357,112.744
2025-06-14,0,112.48,114.827
2025-06-15,0,103.841,103.298
2025-06-16,0,104.314,102.902
2025-06-17,0,104.429,103.756
2025-06-18,0,108.087,108.765
2025-06-19,0,113.059,110.711
2025-06-20,0,113.04,113.996
2025-06-21,0,112.045,111.237
2025-06-22,0,105.087,106.808
2025-06-23,0,100.349,96.758
2025-06-24,0,101.453,100.273
2025-06-25,0,109.095,106.565
2025-06-26,0,116.649,115.41
2025-06-27,0,115.02,115.391
2025-06-28,0,111.266,110.997
2025-06-29,0,106.918,106.538
2025-06-30,0,105.762,105.524
2025-07-01,0,104.798,105.103
2025-07-02,0,108.278,106.765
2025-07-03,0,116.054,117.114
2025-07-04,0,115.907,116.901
2025-07-05,0,114.925,115.502
2025-07-06,0,107.063,107.898
2025-07-07,0,101.051,101.496
2025-07-08,0,101.973,105.025
2025-07-09,0,112.752,112.621
2025-07-10,0,117.638,117.178
2025-07-11,0,115.041,113.91
2025-07-12,0,111.437,109.889
2025-07-13,0,109.97,108.103
2025-07-14,0,101.636,100.303
2025-07-15,0,103.27,103.164
2025-07-16,0,111.087,111.588
2025-07-17,0,113.752,113.828
2025-07-18,0,115.739,114.591
2025-07-19,0,112.226,113.577
2025-07-20,0,108.072,109.181
2025-07-21,0,107.015,106.776
2025-07-22,0,105.59,104.611
2025-07-23,0,111.438,112.261
2025-07-24,0,110.791,111.073
2025-07-25,0,116.002,113.83
2025-07-26,0,111.217,111.115
2025-07-27,0,105.309,105.702
2025-07-28,0,102.794,101.445
2025-07-29,0,105.091,105.376
2025-07-30,0,112.332,110.15
2025-07-31,0,112.588,114.592
2025-08-01,0,116.511,118.383
2025-08-02,0,112.285,111.906
2025-08-03,0,107.441,107.987
2025-08-04,0,106.906,103.291
2025-08-05,0,107.185,105.451
2025-08-06,0,113.525,113.084
2025-08-07,0,115.282,113.674
2025-08-08,0,115.408,116.479
2025-08-09,0,113.156,116.152
2025-08-10,0,108.932,107.167
2025-08-11,0,105.604,104.347
2025-08-12,0,104.29,104.643
2025-08-13,0,111.381,113.798
2025-08-14,0,116.397,114.564
2025-08-15,0,122.185,122.558
2025-08-16,0,117.707,120.439
2025-08-17,0,107.09,104.613
2025-08-18,0,105.026,103.104
2025-08-19,0,103.882,103.247
2025-08-20,0,110.369,109.588
2025-08-21,0,116.922,118.141
2025-08-22,0,119.911,120.274
2025-08-23,0,112.845,110.183
2025-08-24,0,107.838,108.612
2025-08-25,0,101.656,100.79
2025-08-26,0,106.834,108.745
2025-08-27,0,109.775,108.834
2025-08-28,0,115.582,114.627
2025-08-29,0,116.096,116.908
2025-08-30,0,114.465,115.609
2025-08-31,0,105.981,106.653
2025-09-01,0,103.366,100.838
2025-09-02,0,111.768,112.575
2025-09-03,0,109.675,108.124
2025-09-04,0,114.797,115.15
2025-09-05,0,121.873,119.738
2025-09-06,0,120.813,121.483
2025-09-07,0,107.504,106.294
2025-09-08,1,105.914,115.99
2025-09-09,1,108.542,121.613
2025-09-10,1,116.057,128.42
2025-09-11,1,115.367,126.446
2025-09-12,1,118.059,132.236
2025-09-13,1,116.908,128.247
2025-09-14,1,111.066,123.114
2025-09-15,1,106.248,118.651
2025-09-16,1,107.941,119.012
2025-09-17,1,110.2,122.907
2025-09-18,1,117.215,128.414
2025-09-19,1,118.367,129.749
2025-09-20,1,116.168,130.212
2025-09-21,1,109.436,119.875
2025-09-22,1,108.294,116.674
2025-09-23,1,110.584,125.001
2025-09-24,1,113.611,129.435
2025-09-25,1,118.745,130.137
2025-09-26,1,119.356,128.451
2025-09-27,1,116.053,127.588
2025-09-28,1,109.454,121.024
2025-09-29,1,108.333,120.049
2025-09-30,1,108.714,119.044
2025-10-01,1,117.836,130.706
2025-10-02,1,121.538,134.324
2025-10-03,1,120.371,130.13
2025-10-04,1,114.877,127.926
2025-10-05,1,109.022,124.101
2025-10-06,1,110.433,122.691
2025-10-07,1,109.785,121.279
2025-10-08,1,114.96,126.747
2025-10-09,1,115.252,128.175
2025-10-10,1,121.804,131.208
2025-10-11,1,117.662,129.909
2025-10-12,1,109.376,120.79
2025-10-13,1,107.457,122.229
2025-10-14,1,110.136,121.875
2025-10-15,1,114.455,128.957
2025-10-16,1,118.507,128.851
2025-10-17,1,120.093,132.973
2025-10-18,1,116.599,129.078
2025-10-19,1,112.252,122.948
2025-10-20,1,111.693,123.96
2025-10-21,1,104.826,118.644
2025-10-22,1,114.226,125.741
2025-10-23,1,119.794,129.256
2025-10-24,1,121.242,133.215
2025-10-25,1,116.709,127.356
2025-10-26,1,108.783,120.27
2025-10-27,1,109.756,121.634
2025-10-28,1,113.764,123.205
2025-10-29,1,111.982,121.559
2025-10-30,1,121.519,134.242
2025-10-31,1,120.343,131.558
2025-11-01,1,117.681,125.834
2025-11-02,1,110.541,123.718
2025-11-03,1,108.782,121.19
2025-11-04,1,113.259,124.188
2025-11-05,1,116.565,126.59
2025-11-06,1,123.606,136.859
2025-11-07,1,123.704,136.228
2025-11-08,1,119.031,134.605
2025-11-09,1,116.485,129.115
2025-11-10,1,110.678,123.26
2025-11-11,1,112.665,124.415
2025-11-12,1,115.157,128.382
2025-11-13,1,120.624,133.562
2025-11-14,1,120.305,134.182
2025-11-15,1,120.482,131.7
2025-11-16,1,110.99,122.337
2025-11-17,1,111.715,122.996
2025-11-18,1,110.978,124.164
2025-11-19,1,118.442,132.69
2025-11-20,1,122.343,133.654
2025-11-21,1,125.691,137.054
2025-11-22,1,120.315,132.786
2025-11-23,1,110.553,122.184
2025-11-24,1,110.367,123.795
2025-11-25,1,109.365,117.987
2025-11-26,1,115.413,126.173
2025-11-27,1,124.213,135.04
2025-11-28,1,123.675,132.194
2025-11-29,1,117.805,128.36
2025-11-30,1,112.019,122.647
2025-12-01,1,110.916,122.614
2025-12-02,1,109.626,123.295
2025-12-03,1,115.458,127.09
2025-12-04,1,122.165,132.619
2025-12-05,1,125.06,136.975
2025-12-06,1,120.771,134.345
2025-12-07,1,109.814,120.35
2025-12-08,1,111.809,122.443
2025-12-09,1,112.553,125.391
2025-12-10,1,117.978,129.645
2025-12-11,1,125.123,138.095
2025-12-12,1,118.973,130.953
2025-12-13,1,118.721,131.774
2025-12-14,1,115.929,126.376
2025-12-15,1,108.387,120.369
2025-12-16,1,115.711,127.395
2025-12-17,1,118.237,128.413
2025-12-18,1,123.934,133.589
2025-12-19,1,122.308,135.336
2025-12-20,1,121.881,133.354
2025-12-21,1,117.234,127.7
2025-12-22,1,112.366,124.222
2025-12-23,1,113.578,127.27
2025-12-24,1,118.391,126.97
2025-12-25,1,120.864,130.619
2025-12-26,1,123.505,134.12
2025-12-27,1,120.298,134.49
2025-12-28,1,116.213,128.637
2025-12-29,1,114.25,127.401
2025-12-30,1,111.342,121.632
2025-12-31,1,117.95,128.271
