recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
10,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
2,"6) $750 - $1,000",775.12,1,0,Rural,1,Multichannel,Mens E-Mail,1,0,0.0
6,2) $100 - $200,197.04,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
8,2) $100 - $200,149.67,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
3,2) $100 - $200,105.4,0,1,Rural,1,Phone,Womens E-Mail,0,0,0.0
10,2) $100 - $200,166.5,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
7,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
6,4) $350 - $500,355.59,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0
7,3) $200 - $350,271.1,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
5,5) $500 - $750,516.92,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
10,1) $0 - $100,59.54,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0
1,5) $500 - $750,610.09,1,1,Surburban,1,Multichannel,No E-Mail,0,0,0.0
10,2) $100 - $200,138.32,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
4,1) $0 - $100,66.7,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
6,5) $500 - $750,730.85,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
9,1) $0 - $100,62.88,1,0,Urban,1,Web,No E-Mail,0,0,0.0
12,5) $500 - $750,529.04,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0
9,3) $200 - $350,208.81,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
9,2) $100 - $200,133.63,0,1,Rural,1,Web,No E-Mail,0,0,0.0
1,3) $200 - $350,296.19,1,0,Rural,0,Web,No E-Mail,0,0,0.0
11,5) $500 - $750,516.81,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
3,4) $350 - $500,423.9,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0
9,5) $500 - $750,736.03,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
2,3) $200 - $350,201.7,1,1,Surburban,0,Multichannel,Mens E-Mail,1,0,0.0
3,1) $0 - $100,58.64,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
2,1) $0 - $100,29.99,0,1,Rural,1,Phone,Mens E-Mail,1,0,0.0
3,4) $350 - $500,480.13,1,0,Rural,0,Web,No E-Mail,0,0,0.0
12,4) $350 - $500,423.61,1,0,Rural,0,Multichannel,Womens E-Mail,0,0,0.0
2,2) $100 - $200,178.48,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
7,4) $350 - $500,453.52,1,1,Surburban,0,Phone,Mens E-Mail,1,1,112.94
8,3) $200 - $350,268.67,1,1,Rural,1,Phone,Mens E-Mail,0,0,0.0
8,1) $0 - $100,74.61,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
3,"6) $750 - $1,000",888.21,1,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
4,1) $0 - $100,90.03,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
10,1) $0 - $100,80.21,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
9,1) $0 - $100,83.65,0,1,Urban,1,Web,No E-Mail,0,0,0.0
7,1) $0 - $100,64.04,0,1,Rural,0,Web,Womens E-Mail,1,0,0.0
11,2) $100 - $200,118.48,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
12,1) $0 - $100,98.28,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
5,3) $200 - $350,216.03,1,1,Urban,0,Multichannel,Mens E-Mail,0,0,0.0
9,3) $200 - $350,326.74,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
7,2) $100 - $200,131.17,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
4,2) $100 - $200,157.49,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
3,5) $500 - $750,746.12,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
4,2) $100 - $200,175.91,1,0,Rural,1,Web,Mens E-Mail,1,0,0.0
10,1) $0 - $100,31.1,0,1,Rural,1,Web,Womens E-Mail,0,0,0.0
10,1) $0 - $100,73.44,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
2,1) $0 - $100,67.26,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
9,2) $100 - $200,106.26,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
7,3) $200 - $350,284.94,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
2,"6) $750 - $1,000",756.84,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
7,4) $350 - $500,363.87,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
1,"7) $1,000 +",1033.92,1,1,Surburban,1,Web,Womens E-Mail,1,1,102.47
4,3) $200 - $350,293.7,0,1,Rural,1,Multichannel,No E-Mail,0,0,0.0
8,5) $500 - $750,721.06,1,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0
2,2) $100 - $200,100.08,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0
11,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
5,3) $200 - $350,226.31,1,0,Surburban,0,Phone,No E-Mail,1,0,0.0
5,2) $100 - $200,168.3,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
2,1) $0 - $100,32.85,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
1,2) $100 - $200,120.86,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.0
1,5) $500 - $750,665.87,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
8,3) $200 - $350,279.14,0,1,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
6,3) $200 - $350,245.76,1,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
4,1) $0 - $100,92.82,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
6,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
4,4) $350 - $500,357.02,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
8,2) $100 - $200,175.14,0,1,Rural,0,Web,No E-Mail,0,0,0.0
7,4) $350 - $500,454.87,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0
9,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
6,4) $350 - $500,413.2,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0.0
11,1) $0 - $100,29.99,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
1,"6) $750 - $1,000",900.65,1,1,Surburban,1,Web,No E-Mail,0,0,0.0
8,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0
6,4) $350 - $500,395.75,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
10,1) $0 - $100,35.17,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
1,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
9,1) $0 - $100,86.75,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
9,1) $0 - $100,44.28,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
11,1) $0 - $100,55.12,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0
1,"6) $750 - $1,000",752.96,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
2,3) $200 - $350,203.31,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0
5,1) $0 - $100,83.67,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
9,"6) $750 - $1,000",768.06,1,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0
10,2) $100 - $200,120.39,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
9,2) $100 - $200,112.94,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
10,2) $100 - $200,158.37,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
2,3) $200 - $350,267.33,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
4,2) $100 - $200,140.4,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
2,4) $350 - $500,390.21,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0
6,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,0,0,0.0
3,3) $200 - $350,256.8,1,1,Rural,0,Web,Womens E-Mail,1,0,0.0
7,1) $0 - $100,29.99,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0
10,2) $100 - $200,118.63,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
2,5) $500 - $750,565.65,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
10,2) $100 - $200,171.25,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
5,3) $200 - $350,232.21,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
6,3) $200 - $350,256.64,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
2,1) $0 - $100,29.99,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
1,2) $100 - $200,149.22,0,1,Urban,0,Web,No E-Mail,1,0,0.0
12,1) $0 - $100,87.62,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
5,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
2,1) $0 - $100,91.99,1,0,Surburban,1,Web,Womens E-Mail,1,0,0.0
5,1) $0 - $100,98.82,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0.0
3,2) $100 - $200,134.49,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0
5,1) $0 - $100,42.19,0,1,Rural,0,Phone,No E-Mail,0,0,0.0
2,4) $350 - $500,424.25,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
5,2) $100 - $200,146.7,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0
12,1) $0 - $100,46.83,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
6,2) $100 - $200,127.79,1,0,Urban,1,Web,No E-Mail,0,0,0.0
3,1) $0 - $100,80.91,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
6,1) $0 - $100,75.55,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
11,3) $200 - $350,286.51,1,0,Surburban,0,Web,Womens E-Mail,1,0,0.0
4,5) $500 - $750,598.55,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0
1,1) $0 - $100,58.5,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
4,1) $0 - $100,29.99,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0
9,5) $500 - $750,657.42,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0
11,4) $350 - $500,354.89,1,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
10,2) $100 - $200,132.23,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0
4,4) $350 - $500,441.2,0,1,Surburban,0,Multichannel,No E-Mail,1,0,0.0
7,2) $100 - $200,162.48,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
10,2) $100 - $200,134.95,0,1,Rural,1,Web,Mens E-Mail,1,0,0.0
2,2) $100 - $200,120.75,1,0,Urban,0,Web,Womens E-Mail,1,0,0.0
9,5) $500 - $750,613.2,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
1,2) $100 - $200,120.41,1,0,Urban,1,Phone,No E-Mail,1,0,0.0
1,"7) $1,000 +",1012.56,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
9,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
10,1) $0 - $100,94.12,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
2,3) $200 - $350,257.44,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
10,3) $200 - $350,344.57,0,1,Urban,0,Web,No E-Mail,1,0,0.0
11,3) $200 - $350,254.47,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
9,1) $0 - $100,39.56,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
4,1) $0 - $100,30.15,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
10,1) $0 - $100,84.91,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
3,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0
2,2) $100 - $200,183.62,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
4,1) $0 - $100,75.0,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
1,1) $0 - $100,79.65,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
2,2) $100 - $200,122.93,1,0,Surburban,1,Web,Mens E-Mail,1,0,0.0
1,5) $500 - $750,514.57,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,0.0
10,1) $0 - $100,32.28,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
6,1) $0 - $100,47.49,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0
7,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
3,1) $0 - $100,69.67,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
6,2) $100 - $200,160.72,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
9,5) $500 - $750,659.84,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
3,2) $100 - $200,124.16,0,1,Urban,0,Web,Womens E-Mail,1,0,0.0
9,1) $0 - $100,29.99,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0
10,3) $200 - $350,299.65,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
7,2) $100 - $200,166.07,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0
10,1) $0 - $100,33.41,1,0,Urban,0,Web,No E-Mail,0,0,0.0
1,5) $500 - $750,581.75,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
6,1) $0 - $100,99.02,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
9,3) $200 - $350,220.51,1,0,Urban,0,Multichannel,Mens E-Mail,0,0,0.0
7,1) $0 - $100,35.89,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
3,5) $500 - $750,660.98,1,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
10,2) $100 - $200,135.09,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
10,1) $0 - $100,86.63,1,0,Rural,0,Web,Mens E-Mail,0,0,0.0
5,1) $0 - $100,55.83,1,0,Rural,0,Web,No E-Mail,0,0,0.0
8,2) $100 - $200,118.39,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
2,4) $350 - $500,363.11,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
10,2) $100 - $200,151.42,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
1,2) $100 - $200,177.71,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
4,2) $100 - $200,183.93,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0
11,2) $100 - $200,109.83,1,0,Urban,0,Web,No E-Mail,1,0,0.0
8,3) $200 - $350,267.59,0,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
9,1) $0 - $100,96.42,0,1,Urban,1,Web,Mens E-Mail,1,0,0.0
2,2) $100 - $200,152.86,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
11,3) $200 - $350,291.5,1,0,Rural,0,Multichannel,Womens E-Mail,0,0,0.0
4,4) $350 - $500,365.0,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
1,1) $0 - $100,38.69,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
12,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
7,1) $0 - $100,80.14,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
7,2) $100 - $200,115.01,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
3,2) $100 - $200,186.3,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
4,2) $100 - $200,165.99,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
3,4) $350 - $500,355.3,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
8,3) $200 - $350,322.72,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
11,2) $100 - $200,103.4,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
10,3) $200 - $350,233.16,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
2,2) $100 - $200,169.83,1,0,Rural,1,Phone,No E-Mail,0,0,0.0
5,2) $100 - $200,104.48,1,0,Rural,1,Phone,Mens E-Mail,1,0,0.0
2,3) $200 - $350,313.71,1,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
10,1) $0 - $100,43.82,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
10,4) $350 - $500,358.96,0,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
10,3) $200 - $350,207.47,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
1,1) $0 - $100,33.23,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
7,3) $200 - $350,238.13,1,1,Urban,1,Web,Womens E-Mail,0,0,0.0
1,3) $200 - $350,232.92,0,1,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
1,3) $200 - $350,248.87,1,1,Urban,0,Web,No E-Mail,0,0,0.0
7,2) $100 - $200,145.52,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
6,1) $0 - $100,38.38,1,0,Rural,1,Web,Mens E-Mail,0,0,0.0
1,1) $0 - $100,76.8,1,0,Surburban,1,Web,Mens E-Mail,1,0,0.0
3,4) $350 - $500,455.21,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
2,"6) $750 - $1,000",796.18,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
1,5) $500 - $750,719.77,1,1,Urban,1,Phone,No E-Mail,0,0,0.0
10,5) $500 - $750,507.25,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
10,4) $350 - $500,485.68,0,1,Urban,0,Multichannel,Mens E-Mail,1,0,0.0
1,2) $100 - $200,151.25,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
3,1) $0 - $100,91.19,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
3,1) $0 - $100,77.15,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0
9,1) $0 - $100,54.57,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
1,1) $0 - $100,66.1,1,0,Urban,1,Web,No E-Mail,0,0,0.0
6,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
12,1) $0 - $100,32.73,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
11,1) $0 - $100,52.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
3,1) $0 - $100,52.68,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0
7,4) $350 - $500,389.27,1,0,Urban,1,Web,No E-Mail,0,0,0.0
9,4) $350 - $500,352.99,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
4,5) $500 - $750,741.47,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
9,3) $200 - $350,285.97,0,1,Urban,0,Multichannel,Mens E-Mail,0,0,0.0
5,1) $0 - $100,29.99,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
10,1) $0 - $100,40.01,1,0,Surburban,0,Phone,Womens E-Mail,1,0,0.0
12,1) $0 - $100,39.39,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
10,3) $200 - $350,317.49,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
2,4) $350 - $500,370.87,0,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
3,3) $200 - $350,349.47,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
4,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
2,2) $100 - $200,186.1,0,1,Urban,1,Web,No E-Mail,0,0,0.0
3,2) $100 - $200,185.64,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
4,5) $500 - $750,705.63,1,0,Rural,1,Phone,Womens E-Mail,1,0,0.0
11,2) $100 - $200,148.5,1,0,Rural,0,Web,Mens E-Mail,0,0,0.0
1,"6) $750 - $1,000",899.81,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
9,2) $100 - $200,144.1,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
1,1) $0 - $100,41.71,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
1,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
10,3) $200 - $350,280.51,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
5,2) $100 - $200,135.09,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
9,3) $200 - $350,306.79,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0
3,1) $0 - $100,44.67,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0.0
10,3) $200 - $350,231.11,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
4,4) $350 - $500,405.32,1,0,Urban,1,Web,Womens E-Mail,1,0,0.0
12,5) $500 - $750,526.73,1,1,Urban,1,Web,Mens E-Mail,0,0,0.0
9,2) $100 - $200,163.16,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0.0
1,1) $0 - $100,82.09,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
8,3) $200 - $350,305.92,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
1,2) $100 - $200,153.39,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
4,1) $0 - $100,41.45,1,0,Rural,1,Web,Womens E-Mail,0,0,0.0
3,4) $350 - $500,489.48,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
4,1) $0 - $100,47.63,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0
1,2) $100 - $200,120.22,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
12,2) $100 - $200,159.68,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
7,3) $200 - $350,349.69,0,1,Rural,0,Phone,Womens E-Mail,0,0,0.0
10,2) $100 - $200,173.41,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
8,1) $0 - $100,51.4,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
9,"6) $750 - $1,000",836.65,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
10,1) $0 - $100,29.99,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
9,1) $0 - $100,91.17,1,0,Urban,1,Web,No E-Mail,0,0,0.0
7,3) $200 - $350,263.79,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
2,3) $200 - $350,226.7,1,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
1,2) $100 - $200,114.78,1,0,Urban,0,Web,No E-Mail,0,0,0.0
11,5) $500 - $750,746.94,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
2,2) $100 - $200,109.5,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0
11,1) $0 - $100,52.34,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
1,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
1,4) $350 - $500,449.89,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0
5,3) $200 - $350,244.7,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
2,5) $500 - $750,516.48,1,0,Rural,1,Web,Mens E-Mail,0,0,0.0
2,1) $0 - $100,59.49,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
1,3) $200 - $350,274.93,1,1,Urban,0,Multichannel,Womens E-Mail,1,0,0.0
9,1) $0 - $100,30.05,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0
8,1) $0 - $100,42.51,1,0,Urban,1,Web,No E-Mail,0,0,0.0
3,1) $0 - $100,33.57,1,0,Rural,1,Web,No E-Mail,0,0,0.0
7,3) $200 - $350,261.83,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
12,2) $100 - $200,188.69,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
3,5) $500 - $750,546.68,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0
7,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
4,2) $100 - $200,116.37,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
1,2) $100 - $200,137.29,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
4,1) $0 - $100,56.18,1,0,Urban,1,Web,No E-Mail,0,0,0.0
6,5) $500 - $750,527.95,1,0,Rural,1,Multichannel,No E-Mail,0,0,0.0
9,3) $200 - $350,225.52,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
2,2) $100 - $200,116.8,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
3,3) $200 - $350,272.42,1,1,Urban,1,Web,Mens E-Mail,0,0,0.0
